customer_email,cliente_id
compras@bittencourt483.com.br,000483
compras@ferreira217.com.br,000217
compras@nogueira80.com.br,000080
compras@andrade196.com.br,000196
compras@oliveira87.com.br,000087
compras@silva495.com.br,000495
compras@souza399.com.br,000399
compras@costa352.com.br,000352
compras@ferreira187.com.br,000187
compras@souza126.com.br,000126
compras@souza466.com.br,000466
compras@costa498.com.br,000498
compras@do vale368.com.br,000368
compras@rezende170.com.br,000170
compras@oliveira475.com.br,000475
compras@andrade294.com.br,000294
compras@bittencourt99.com.br,000099
compras@bittencourt480.com.br,000480
compras@ferreira407.com.br,000407
compras@rezende403.com.br,000403
compras@oliveira81.com.br,000081
compras@bittencourt74.com.br,000074
compras@oliveira83.com.br,000083
compras@rezende453.com.br,000453
compras@ferreira153.com.br,000153
compras@almeida111.com.br,000111
compras@oliveira391.com.br,000391
compras@oliveira250.com.br,000250
compras@pereira497.com.br,000497
compras@do vale122.com.br,000122
compras@costa18.com.br,000018
compras@oliveira32.com.br,000032
compras@rezende486.com.br,000486
compras@pereira144.com.br,000144
compras@andrade404.com.br,000404
compras@pereira473.com.br,000473
compras@almeida30.com.br,000030
compras@almeida66.com.br,000066
compras@souza297.com.br,000297
compras@andrade186.com.br,000186
compras@almeida135.com.br,000135
compras@ferreira487.com.br,000487
compras@do vale191.com.br,000191
compras@pereira346.com.br,000346
compras@souza435.com.br,000435
compras@bittencourt426.com.br,000426
compras@pereira388.com.br,000388
compras@almeida23.com.br,000023
compras@ferreira210.com.br,000210
compras@costa316.com.br,000316
compras@andrade470.com.br,000470
compras@almeida91.com.br,000091
compras@pereira67.com.br,000067
compras@rezende335.com.br,000335
compras@rezende398.com.br,000398
compras@pereira347.com.br,000347
compras@oliveira249.com.br,000249
compras@oliveira76.com.br,000076
compras@souza357.com.br,000357
compras@pereira11.com.br,000011
compras@do vale214.com.br,000214
compras@silva215.com.br,000215
compras@bittencourt481.com.br,000481
compras@andrade343.com.br,000343
compras@nogueira323.com.br,000323
compras@rezende329.com.br,000329
compras@nogueira121.com.br,000121
compras@silva168.com.br,000168
compras@oliveira414.com.br,000414
compras@andrade496.com.br,000496
compras@bittencourt477.com.br,000477
compras@pereira273.com.br,000273
compras@andrade165.com.br,000165
compras@costa142.com.br,000142
compras@oliveira317.com.br,000317
compras@bittencourt118.com.br,000118
compras@almeida389.com.br,000389
compras@costa279.com.br,000279
compras@rezende315.com.br,000315
compras@silva307.com.br,000307
compras@souza237.com.br,000237
compras@do vale257.com.br,000257
compras@costa500.com.br,000500
compras@costa184.com.br,000184
compras@nogueira15.com.br,000015
compras@souza280.com.br,000280
compras@bittencourt341.com.br,000341
compras@rezende287.com.br,000287
compras@almeida328.com.br,000328
compras@bittencourt35.com.br,000035
compras@souza382.com.br,000382
compras@pereira171.com.br,000171
compras@rezende254.com.br,000254
compras@bittencourt260.com.br,000260
compras@ferreira134.com.br,000134
compras@oliveira256.com.br,000256
compras@ferreira324.com.br,000324
compras@andrade104.com.br,000104
compras@andrade84.com.br,000084
compras@pereira158.com.br,000158
compras@bittencourt141.com.br,000141
compras@almeida131.com.br,000131
compras@pereira113.com.br,000113
compras@rezende204.com.br,000204
compras@costa288.com.br,000288
compras@souza234.com.br,000234
compras@costa350.com.br,000350
compras@andrade149.com.br,000149
compras@almeida25.com.br,000025
compras@almeida264.com.br,000264
compras@almeida241.com.br,000241
compras@souza342.com.br,000342
compras@nogueira225.com.br,000225
compras@costa265.com.br,000265
compras@almeida50.com.br,000050
compras@do vale447.com.br,000447
compras@ferreira442.com.br,000442
compras@souza408.com.br,000408
compras@nogueira44.com.br,000044
compras@almeida423.com.br,000423
compras@almeida54.com.br,000054
compras@oliveira175.com.br,000175
compras@rezende354.com.br,000354
compras@ferreira167.com.br,000167
compras@oliveira164.com.br,000164
compras@oliveira162.com.br,000162
compras@souza494.com.br,000494
compras@costa327.com.br,000327
compras@andrade150.com.br,000150
compras@oliveira107.com.br,000107
compras@silva154.com.br,000154
compras@ferreira182.com.br,000182
compras@almeida206.com.br,000206
compras@costa467.com.br,000467
compras@bittencourt384.com.br,000384
compras@do vale86.com.br,000086
compras@oliveira89.com.br,000089
compras@ferreira235.com.br,000235
compras@ferreira461.com.br,000461
compras@souza132.com.br,000132
compras@bittencourt48.com.br,000048
compras@nogueira140.com.br,000140
compras@costa51.com.br,000051
compras@costa226.com.br,000226
compras@oliveira463.com.br,000463
compras@bittencourt174.com.br,000174
compras@souza209.com.br,000209
compras@do vale12.com.br,000012
compras@oliveira58.com.br,000058
compras@bittencourt239.com.br,000239
compras@oliveira246.com.br,000246
compras@almeida402.com.br,000402
compras@bittencourt306.com.br,000306
compras@costa178.com.br,000178
compras@pereira366.com.br,000366
compras@bittencourt180.com.br,000180
compras@ferreira272.com.br,000272
compras@almeida190.com.br,000190
compras@pereira252.com.br,000252
compras@silva321.com.br,000321
compras@almeida420.com.br,000420
compras@do vale94.com.br,000094
compras@bittencourt438.com.br,000438
compras@souza240.com.br,000240
compras@ferreira245.com.br,000245
